year	paper-Name	author
AAAI (Artificial Intelligence)		
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	Haoyi Zhou, Beihang University;Shanghang Zhang, University of California, Berkeley ;Jieqi Peng, Beihang University ;Shuai Zhang, Beihang University ;Jianxin Li, Beihang University ;Hui Xiong, Rutgers University ;Wancai Zhang, Beijing Guowang Fuda Science & Technology Development Company
	Exploration-Exploitation in Multi-Agent Learning: Catastrophe Theory Meets Game Theory	Stefanos Leonardos & Georgios Piliouras, Singapore University of Technology and Design
2020	WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale	Keisuke Sakaguchi, Allen Institute for Artificial Intelligence;Ronan Le Bras, Allen Institute for Artificial Intelligence ;Chandra Bhagavatula, Allen Institute for Artificial Intelligence ;Yejin Choi, University of Washington
2019	How to Combine Tree-Search Methods in Reinforcement Learning	Yonathan Efroni, Technion – Israel Institute of Technology;Gal Dalal, Technion – Israel Institute of Technology ;Bruno Scherrer, Inria ;Shie Mannor, Technion – Israel Institute of Technology
2018	Memory-Augmented Monte Carlo Tree Search	Chenjun Xiao, University of Alberta;Jincheng Mei, University of Alberta ;Martin Müller, University of Alberta
2017	Label-Free Supervision of Neural Networks with Physics and Domain Knowledge	Russell Stewart & Stefano Ermon, Stanford University
2016	Bidirectional Search That Is Guaranteed to Meet in the Middle	Robert C. Holte, University of Alberta;Ariel Felner, Ben-Gurion University of the Negev ;Guni Sharon, Ben-Gurion University of the Negev ;Nathan R. Sturtevant, University of Denver
2015	From Non-Negative to General Operator Cost Partitioning	Florian Pommerening, University of Basel;Malte Helmert, University of Basel ;Gabriele Röger, University of Basel ;Jendrik Seipp, University of Basel
2014	Recovering from Selection Bias in Causal and Statistical Inference	Elias Bareinboim, University of California, Los Angeles;Jin Tian, Iowa State University ;Judea Pearl, University of California, Los Angeles
2013	SMILe: Shuffled Multiple-Instance Learning	Gary Doran & Soumya Ray, Case Western Reserve University
	HC-Search: Learning Heuristics and Cost Functions for Structured Prediction	Janardhan Rao Doppa, Oregon State University;Alan Fern, Oregon State University ;Prasad Tadepalli, Oregon State University
2012	Learning SVM Classifiers with Indefinite Kernels	Suicheng Gu & Yuhong Guo, Temple University
	Document Summarization Based on Data Reconstruction	Zhanying He, Zhejiang University;Chun Chen, Zhejiang University ;Jiajun Bu, Zhejiang University ;Can Wang, Zhejiang University ;Lijan Zhang, Zhejiang University ;Deng Cai, Zhejiang University ;Xiaofei He, Zhejiang University
2011	Complexity of and Algorithms for Borda Manipulation	Jessica Davies, University of Toronto;George Katsirelos, University of Paris-Sud ;Nina Narodytska, University of New South Wales ;Toby Walsh, National ICT Australia
