year	paper-Name	journal	author-name
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	AAAI (Artificial Intelligence)	Haoyi Zhou
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	AAAI (Artificial Intelligence)	Shanghang Zhang
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	AAAI (Artificial Intelligence)	Jieqi Peng
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	AAAI (Artificial Intelligence)	Shuai Zhang
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	AAAI (Artificial Intelligence)	Jianxin Li
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	AAAI (Artificial Intelligence)	Hui Xiong
2021	Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting	AAAI (Artificial Intelligence)	Wancai Zhang
2021	Exploration-Exploitation in Multi-Agent Learning: Catastrophe Theory Meets Game Theory	AAAI (Artificial Intelligence)	Stefanos Leonardos & Georgios Piliouras
2020	WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale	AAAI (Artificial Intelligence)	Keisuke Sakaguchi
2020	WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale	AAAI (Artificial Intelligence)	Ronan Le Bras
2020	WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale	AAAI (Artificial Intelligence)	Chandra Bhagavatula
2020	WINOGRANDE: An Adversarial Winograd Schema Challenge at Scale	AAAI (Artificial Intelligence)	Yejin Choi
2019	How to Combine Tree-Search Methods in Reinforcement Learning	AAAI (Artificial Intelligence)	Yonathan Efroni
2019	How to Combine Tree-Search Methods in Reinforcement Learning	AAAI (Artificial Intelligence)	Gal Dalal
2019	How to Combine Tree-Search Methods in Reinforcement Learning	AAAI (Artificial Intelligence)	Bruno Scherrer
2019	How to Combine Tree-Search Methods in Reinforcement Learning	AAAI (Artificial Intelligence)	Shie Mannor
2018	Memory-Augmented Monte Carlo Tree Search	AAAI (Artificial Intelligence)	Chenjun Xiao
2018	Memory-Augmented Monte Carlo Tree Search	AAAI (Artificial Intelligence)	Jincheng Mei
2018	Memory-Augmented Monte Carlo Tree Search	AAAI (Artificial Intelligence)	Martin Müller
2017	Label-Free Supervision of Neural Networks with Physics and Domain Knowledge	AAAI (Artificial Intelligence)	Russell Stewart & Stefano Ermon
2016	Bidirectional Search That Is Guaranteed to Meet in the Middle	AAAI (Artificial Intelligence)	Robert C. Holte
2016	Bidirectional Search That Is Guaranteed to Meet in the Middle	AAAI (Artificial Intelligence)	Ariel Felner
2016	Bidirectional Search That Is Guaranteed to Meet in the Middle	AAAI (Artificial Intelligence)	Guni Sharon
2016	Bidirectional Search That Is Guaranteed to Meet in the Middle	AAAI (Artificial Intelligence)	Nathan R. Sturtevant
2015	From Non-Negative to General Operator Cost Partitioning	AAAI (Artificial Intelligence)	Florian Pommerening
2015	From Non-Negative to General Operator Cost Partitioning	AAAI (Artificial Intelligence)	Malte Helmert
2015	From Non-Negative to General Operator Cost Partitioning	AAAI (Artificial Intelligence)	Gabriele Röger
2015	From Non-Negative to General Operator Cost Partitioning	AAAI (Artificial Intelligence)	Jendrik Seipp
2014	Recovering from Selection Bias in Causal and Statistical Inference	AAAI (Artificial Intelligence)	Elias Bareinboim
2014	Recovering from Selection Bias in Causal and Statistical Inference	AAAI (Artificial Intelligence)	Jin Tian
2014	Recovering from Selection Bias in Causal and Statistical Inference	AAAI (Artificial Intelligence)	Judea Pearl
2013	SMILe: Shuffled Multiple-Instance Learning	AAAI (Artificial Intelligence)	Gary Doran & Soumya Ray
2013	HC-Search: Learning Heuristics and Cost Functions for Structured Prediction	AAAI (Artificial Intelligence)	Janardhan Rao Doppa
2013	HC-Search: Learning Heuristics and Cost Functions for Structured Prediction	AAAI (Artificial Intelligence)	Alan Fern
2013	HC-Search: Learning Heuristics and Cost Functions for Structured Prediction	AAAI (Artificial Intelligence)	Prasad Tadepalli
2012	Learning SVM Classifiers with Indefinite Kernels	AAAI (Artificial Intelligence)	Suicheng Gu & Yuhong Guo
2012	Document Summarization Based on Data Reconstruction	AAAI (Artificial Intelligence)	Zhanying He
2012	Document Summarization Based on Data Reconstruction	AAAI (Artificial Intelligence)	Chun Chen
2012	Document Summarization Based on Data Reconstruction	AAAI (Artificial Intelligence)	Jiajun Bu
